Type,Tunnel,Melding,Code,sTijd,,eTijd,Duur,Jaar,Maand,hWeek,Dag,Uur,Weekday,sTijd_date,duration_sec,duration_min,duration_hr
O,Oost,GSIS,F324,2015-09-01 00:25:38,,2015-09-01 00:25:59,0.34,2015,9,36,1,0,Tuesday,2015-09-01,21,0.3500,0.0058
O,West,GSIS,F324,2015-09-01 02:00:08,,2015-09-01 02:00:39,0.5,2015,9,36,1,2,Tuesday,2015-09-01,31,0.5167,0.0086
O,Oost,GSIS,F324,2015-09-01 03:30:39,,2015-09-01 03:31:20,0.67,2015,9,36,1,3,Tuesday,2015-09-01,81,1.3500,0.0225
O,Oost,GSIS,F324,2015-09-01 00:25:38,,2015-09-01 00:25:49,0.17,2015,9,36,1,0,Tuesday,2015-09-01,11,0.1833,0.0031
V,Oost,GSIS,F324,2015-09-01 02:00:08,,2015-09-01 02:00:18,0.17,2015,9,36,1,2,Tuesday,2015-09-01,10,0.1667,0.0028
O,East,GSIS,F324,2015-09-01 02:00:29,,2015-09-01 02:00:39,0.17,2015,9,36,1,2,Tuesday,2015-09-01,10,0.1667,0.0028
O,Oost,GSIS,F324,2015-09-01 03:30:39,,2015-09-01 03:30:49,0.17,2015,9,36,1,3,Tuesday,2015-09-01,10,0.1667,0.0028
F,Oost,GSIS,F324,2015-09-01 03:30:59,,2015-09-01 03:31:10,0.17,2015,9,36,1,3,Tuesday,2015-09-01,51,0.8500,0.0142
O,Lane 1,CaDo,DI46A,2015-09-01 05:26:55,,2015-09-01 05:44:40,17.75,2015,9,36,1,5,Tuesday,2015-09-01,1785,29.7500,0.4958
O,Lane 1,GSIS O1,F324,2015-09-01 00:25:38,,2015-09-01 00:25:59,0.34,2015,9,36,1,0,Tuesday,2015-09-01,21,0.3500,0.0058
O,North,GSIS O1,F324,2015-09-01 00:25:38,,2015-09-01 00:25:59,0.34,2015,9,36,1,0,Tuesday,2015-09-01,21,0.3500,0.0058
VT,Lane 1,HF,DI62,2015-09-01 06:14:26,,2015-09-01 06:16:27,2.02,2015,9,36,1,6,Tuesday,2015-09-01,201,3.3500,0.0558
O,Lane 1,VRI NZ,GB42,2015-09-01 05:32:49,,2015-09-01 05:43:42,10.89,2015,9,36,1,5,Tuesday,2015-09-01,1093,18.2167,0.3036
O,Lane 1,VRI ZN,GB42,2015-09-01 05:32:49,,2015-09-01 05:43:42,10.88,2015,9,36,1,5,Tuesday,2015-09-01,1093,18.2167,0.3036
